Club,Profile URL,Name,Date of birth,Place of birth,Age,Name in native country,Height,Nationality,Position,Foot,Market value,Contract until,Contract option,Homepage,Debut (Club),
Manchester United,https://www.soccerdonna.de/en/maya-le-tissier/profil/spieler_40316.html,4 Maya Le Tissier,18.04.2002,Guernsey,23,Maya Le Tissier,"1,71",England,Defence - Centre Back,right,450.000 €,30.06.2028,,,17.09.2022,19.04.2024
Manchester United,https://www.soccerdonna.de/en/hannah-blundell/profil/spieler_19071.html,6 Hannah Blundell,25.05.1994,Eastbourne,31,Hannah Jayne Blundell,"1,63",England,"Defence - Fullback, left",left,90.000 €,30.06.2026,,,03.09.2021,11.09.2024
Manchester United,https://www.soccerdonna.de/en/jayde-riviere/profil/spieler_33886.html,14 Jayde Riviere,22.01.2001,"Markham, Ontario",24,Jayde Yuk Fun Riviere,"1,63",Canada,"Defence - Fullback, right",,350.000 €,30.06.2028,,www.instagram.com/jayderiviere/,07.05.2023,14.01.2025
Manchester United,https://www.soccerdonna.de/en/dominique-janssen/profil/spieler_19416.html,17 Dominique Janssen,17.01.1995,Horst,30,Dominique Johanna Anna Petrone Janssen,"1,75",Netherlands,Defence - Centre Back,both,250.000 €,30.06.2027,,www.instagram.com/dominiquejanssen_nl/,21.09.2024,
Manchester United,https://www.soccerdonna.de/en/millie-turner/profil/spieler_26154.html,21 Millie Turner,07.07.1996,Wilmslow,29,Millie Tina Turner,"1,78",England,Defence - Centre Back,right,250.000 €,30.06.2028,,,09.09.2018,21.03.2025
Manchester United,https://www.soccerdonna.de/en/evie-rabjohn/profil/spieler_63544.html,25 Evie Rabjohn,28.04.2005,,20,Evie Lauren Isabel Rabjohn,"1,75",England,Defence - Centre Back,right,20.000 €,?,,,09.11.2023,
Manchester United,https://www.soccerdonna.de/en/emma-watson/profil/spieler_62909.html,Emma Watson,28.01.2006,Edinburgh,19,Emma Watson,,Scottland,Midfield,,45.000 €,?,,www.instagram.com/ems_watson28/,20.11.2024,
Manchester United,https://www.soccerdonna.de/en/ella-toone/profil/spieler_30420.html,7 Ella Toone,02.09.1999,Tyldesley,25,Ella Ann Toone,"1,63",England,Midfield - Attacking Midfield,right,775.000 €,30.06.2026,,www.instagram.com/ellatoone/,09.09.2018,10.11.2022
Manchester United,https://www.soccerdonna.de/en/grace-clinton/profil/spieler_50200.html,8 Grace Clinton,31.03.2003,Liverpool,22,Grace Clinton,"1,65",England,Midfield - Central Midfield,right,600.000 €,30.06.2026,,www.instagram.com/graceclinton_x/,21.09.2024,09.01.2025
Manchester United,https://www.soccerdonna.de/en/simi-awujo/profil/spieler_68871.html,13 Simi Awujo,23.09.2003,"Atlanta, Georgia",21,Simisola Feyishayo Awujo,"1,75",Canada United States,Midfield - Defensive Midfield,,300.000 €,30.06.2027,,www.instagram.com/simiawujo/,21.09.2024,
Manchester United,https://www.soccerdonna.de/en/lisa-naalsund/profil/spieler_13414.html,16 Lisa Naalsund,11.06.1995,Bergen,30,Lisa Fjeldstad Naalsund,"1,69",Norway,Midfield - Central Midfield,right,225.000 €,30.06.2026,,www.instagram.com/lisanaalsund/,19.03.2023,
Manchester United,https://www.soccerdonna.de/en/hinata-miyazawa/profil/spieler_35793.html,20 Hinata Miyazawa,28.11.1999,"Minamiashigara, Kanagawa",25,宮澤 ひなた,"1,60",Japan,Midfield - Central Midfield,right,80.000 €,?,,www.instagram.com/hinata_jp15/,01.10.2023,
Manchester United,https://www.soccerdonna.de/en/melvine-malard/profil/spieler_33629.html,9 Melvine Malard,28.06.2000,Saint-Denis,25,Melvine Marie Ericka Malard,"1,71",France,Striker - Centre Forward,left,350.000 €,30.06.2027,,,06.10.2023,
Manchester United,https://www.soccerdonna.de/en/leah-galton/profil/spieler_3023.html,11 Leah Galton,24.05.1994,Harrogate,31,Leah Danielle Galton,"1,70",England,Striker - Left Wing,left,125.000 €,30.06.2026,,,09.09.2018,31.01.2024
Manchester United,https://www.soccerdonna.de/en/celin-bizet-donnum/profil/spieler_33477.html,15 Celin Bizet Dønnum,24.10.2001,Frogner i Sørum,23,Celin Bizet Ildhusøy,"1,68",Norway Cuba,Striker - Right Wing,right,425.000 €,30.06.2027,,www.instagram.com/celinbizet/,21.09.2024,
Manchester United,https://www.soccerdonna.de/en/elisabeth-terland/profil/spieler_33482.html,19 Elisabeth Terland,28.06.2001,Nærbø,24,Elisabeth Terland,"1,71",Norway,Striker - Centre Forward,both,675.000 €,30.06.2026,,www.instagram.com/elisabeth.terland/,21.09.2024,
Manchester United,https://www.soccerdonna.de/en/rachel-williams/profil/spieler_2956.html,28 Rachel Williams,10.01.1988,Leicester,37,Rachel Louise Williams,"1,69",England,Striker - Centre Forward,,25.000 €,30.06.2026,,,16.10.2022,04.07.2025
Manchester United,https://www.soccerdonna.de/en/keira-barry/profil/spieler_63549.html,37 Keira Barry,13.06.2005,,20,Keira Kathleen Barry,,England,Striker,,20.000 €,30.06.2026,,,18.12.2022,23.06.2025
Liverpool FC,https://www.soccerdonna.de/en/rachael-laws/profil/spieler_4391.html,1 Rachael Laws,05.11.1990,Newcastle,34,Rachael Laws,"1,75",England,Goalkeeper,right,30.000 €,?,,,04.06.2013,08.08.2024
Liverpool FC,https://www.soccerdonna.de/en/faye-kirby/profil/spieler_55617.html,22 Faye Kirby,05.04.2004,Crosby,21,Faye Mary Kirby,,England,Goalkeeper,,15.000 €,30.06.2025,,,27.11.2022,19.09.2024
Liverpool FC,https://www.soccerdonna.de/en/lucy-parry/profil/spieler_50203.html,2 Lucy Parry,07.05.2004,,21,Lucy Annabel Parry,,England,"Defence - Fullback, right",right,40.000 €,?,,,04.10.2020,07.08.2024
Liverpool FC,https://www.soccerdonna.de/en/gemma-evans/profil/spieler_30383.html,3 Gemma Evans,01.08.1996,Gelli,28,Gemma Jayne Evans,"1,70",Wales,Defence - Centre Back,left,290.000 €,?,,,22.09.2024,
Liverpool FC,https://www.soccerdonna.de/en/grace-fisk/profil/spieler_35706.html,4 Grace Fisk,05.01.1998,Bromley,27,Grace Rebecca Fisk,"1,72",England,Defence - Centre Back,right,90.000 €,?,,,01.10.2023,04.04.2025
Liverpool FC,https://www.soccerdonna.de/en/jenna-clark/profil/spieler_36110.html,17 Jenna Clark,29.09.2001,,23,Jenna Clark,"1,78",Scottland,Defence - Centre Back,both,190.000 €,?,,,01.10.2023,21.03.2025
Liverpool FC,https://www.soccerdonna.de/en/gemma-bonner/profil/spieler_3008.html,23 Gemma Bonner,13.07.1991,Leeds,33,Gemma Bonner,"1,75",England,Defence - Centre Back,right,40.000 €,?,,,14.04.2013,
Liverpool FC,https://www.soccerdonna.de/en/hannah-silcock/profil/spieler_63376.html,34 Hannah Silcock,18.09.2004,,20,Hannah Mary Kagaza Silcock,,England,Defence - Centre Back,,25.000 €,?,,,03.11.2021,
Liverpool FC,https://www.soccerdonna.de/en/fuka-nagano/profil/spieler_22904.html,8 Fuka Nagano,09.03.1999,"Edogawa, Tokyo",26,長野 風花,"1,60",Japan,Midfield - Central Midfield,right,180.000 €,30.06.2025,,www.instagram.com/pu_chaaaan01/,25.01.2023,
Liverpool FC,https://www.soccerdonna.de/en/marie-hoebinger/profil/spieler_30366.html,14 Marie Höbinger,01.07.2001,Wien,24,Marie-Therese Höbinger,"1,62",Austria Germany,Midfield - Central Midfield,both,320.000 €,?,,,01.10.2023,16.01.2025
Liverpool FC,https://www.soccerdonna.de/en/sofie-lundgaard/profil/spieler_36990.html,15 Sofie Lundgaard,29.05.2002,Aalborg,23,Sofie Lundgaard Pedersen,,Denmark,Midfield - Central Midfield,,35.000 €,?,,instagram.com/sofiielundgaard,15.01.2023,20.09.2024
Liverpool FC,https://www.soccerdonna.de/en/ceri-holland/profil/spieler_30335.html,18 Ceri Holland,12.12.1997,West Yorkshire,27,Ceri Holland,"1,65",Wales England,Midfield - Central Midfield,,160.000 €,?,,,07.02.2021,24.06.2025
Liverpool FC,https://www.soccerdonna.de/en/cornelia-kapocs/profil/spieler_39336.html,7 Cornelia Kapocs,13.07.2000,Uppsala,24,Cornelia Iza Kapocs,,Sweden,Striker,,120.000 €,?,,,22.09.2024,
Liverpool FC,https://www.soccerdonna.de/en/leanne-kiernan/profil/spieler_32642.html,9 Leanne Kiernan,27.04.1999,Bailieborough,26,Leanne Kiernan,"1,65",Ireland,Striker - Centre Forward,right,190.000 €,?,,,29.08.2021,09.09.2024
Liverpool FC,https://www.soccerdonna.de/en/sophie-roman-haug/profil/spieler_30444.html,10 Sophie Román Haug,04.06.1999,Kløfta,26,Sophie Román Haug,"1,77",Norway,Striker - Centre Forward,,210.000 €,30.06.2026,,www.instagram.com/sophiehaug/,15.10.2023,04.08.2022
Liverpool FC,https://www.soccerdonna.de/en/olivia-smith/profil/spieler_43997.html,11 Olivia Smith,05.08.2004,"North York, Ontario",20,Olivia Smith,"1,63",Canada,Striker,both,465.000 €,30.06.2027,,www.instagram.com/livysmithhh/,22.09.2024,
Liverpool FC,https://www.soccerdonna.de/en/mia-enderby/profil/spieler_60258.html,13 Mia Enderby,31.05.2005,,20,Mia Enderby,,England,Striker,right,100.000 €,?,,,01.10.2023,
Tottenham Hotspur,https://www.soccerdonna.de/en/lize-kop/profil/spieler_30744.html,1 Lize Kop,17.03.1998,Wormer,27,Lize Kop,"1,73",Netherlands,Goalkeeper,right,75.000 €,30.06.2028,,www.instagram.com/lizekop/,19.01.2025,
Tottenham Hotspur,https://www.soccerdonna.de/en/eleanor-heeps/profil/spieler_44242.html,27 Eleanor Heeps,04.08.2003,Crewe,21,Eleanor Heeps,,England,Goalkeeper,right,15.000 €,30.06.2028,,,23.11.2024,15.04.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/charlotte-grant/profil/spieler_39299.html,2 Charlotte Grant,20.09.2001,Adelaide,23,Charlotte Layne Grant,"1,68",Australia,"Defence - Fullback, right",right,150.000 €,30.06.2026,,www.instagram.com/charli_grant/,14.01.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/ella-morris/profil/spieler_40398.html,3 Ella Morris,23.09.2002,,22,Ella Beth Morris,,England,Defence,right,70.000 €,30.06.2027,,,20.10.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/amy-james-turner/profil/spieler_6616.html,4 Amy James-Turner,04.07.1991,Sheffield,34,Amy Turner,"1,65",England,Defence - Centre Back,right,30.000 €,30.06.2026,,,18.09.2022,19.09.2024
Tottenham Hotspur,https://www.soccerdonna.de/en/molly-bartrip/profil/spieler_14118.html,5 Molly Bartrip,01.06.1996,Romford,29,Molly Bartrip,,England,Defence - Centre Back,right,50.000 €,30.06.2028,,,04.09.2021,23.06.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/amanda-nilden/profil/spieler_37468.html,6 Amanda Nildén,07.08.1998,Stockholm,26,Elsa Amanda Nildén,"1,68",Sweden,"Defence - Fullback, left",both,200.000 €,?,,,25.01.2024,26.06.2024
Tottenham Hotspur,https://www.soccerdonna.de/en/josefine-rybrink/profil/spieler_34165.html,12 Josefine Rybrink,19.01.1998,Kristianstad,27,Solveig Josefine Krisitna Rybrink,"1,68",Sweden,Defence - Centre Back,left,100.000 €,30.06.2026,,,02.02.2025,28.05.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/clare-hunt/profil/spieler_31903.html,15 Clare Hunt,12.03.1999,"Grenfell, New South Wales",26,Clare Josephine Hunt,"1,76",Australia,Defence - Centre Back,,110.000 €,30.06.2027,,www.instagram.com/_clarehunt/,22.09.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/luana-buehler/profil/spieler_16456.html,21 Luana Bühler,28.04.1996,Wolhusen,29,Luana Chiara Bühler,"1,71",Switzerland,Defence - Centre Back,right,65.000 €,30.06.2025,,www.instagram.com/luanabuehler/,01.10.2023,
Tottenham Hotspur,https://www.soccerdonna.de/en/ashleigh-neville/profil/spieler_36180.html,29 Ashleigh Neville,29.04.1993,West Bromwich,32,Ashleigh Neville,"1,71",England,"Defence - Fullback, left",right,40.000 €,30.06.2026,,,09.09.2018,28.05.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/toko-koga/profil/spieler_56785.html,32 Toko Koga,06.01.2006,"Toyonaka, Osaka",19,古賀 塔子,"1,73",Japan,Defence - Centre Back,right,45.000 €,30.06.2029,,www.instagram.com/0106.toko,,
Tottenham Hotspur,https://www.soccerdonna.de/en/maite-oroz/profil/spieler_22158.html,10 Maite Oroz,25.03.1998,Huarte,27,Maite Oroz Areta,"1,55",Spain,Midfield - Attacking Midfield,right,125.000 €,30.06.2028,,instagram.com/maitetxuu_10,22.09.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/matilda-vinberg/profil/spieler_53724.html,13 Matilda Vinberg,16.03.2003,Stockholm,22,Matilda Liv Vinberg,,Sweden,Midfield - Central Midfield,both,90.000 €,30.06.2026,,,14.01.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/anna-csiki/profil/spieler_39570.html,14 Anna Csiki,14.11.1999,,25,Anna Júlia Csiki,"1,79",Hungary,"Midfield - Midfield, left",left,60.000 €,30.06.2028,,,22.09.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/kit-graham/profil/spieler_36305.html,16 Kit Graham,11.11.1995,Chatham,29,Kit Graham,"1,60",England,Midfield - Attacking Midfield,left,30.000 €,30.06.2026,,,08.09.2019,28.05.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/olga-ahtinen/profil/spieler_23906.html,20 Olga Ahtinen,15.08.1997,Kokkola,27,Olga Adela Ahtinen,"1,64",Finland,Midfield - Central Midfield,,90.000 €,30.06.2026,,www.instagram.com/olgaahtinen/,01.10.2023,28.05.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/drew-spence/profil/spieler_2965.html,24 Drew Spence,23.10.1992,London,32,Drew Meigan Spence,"1,65",Jamaica England,Midfield - Central Midfield,both,55.000 €,30.06.2026,,www.instagram.com/_spence23/,18.09.2022,19.07.2024
Tottenham Hotspur,https://www.soccerdonna.de/en/eveliina-summanen/profil/spieler_34748.html,25 Eveliina Summanen,29.05.1998,Lappeenranta,27,Evellina Anna Maria Summanen,"1,72",Finland,Midfield - Defensive Midfield,right,100.000 €,30.06.2026,,www.instagram.com/eveveveliina/,30.01.2022,16.11.2023
Tottenham Hotspur,https://www.soccerdonna.de/en/araya-dennis/profil/spieler_73027.html,Araya Dennis,11.01.2006,,19,Araya Marilyn Roxanne Dennis,,England,Striker,,30.000 €,?,,,02.10.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/jessica-naz/profil/spieler_37522.html,7 Jessica Naz,24.09.2000,London,24,Jessica Naz,"1,65",England,Striker - Right Wing,right,180.000 €,30.06.2027,,,09.09.2018,24.05.2024
Tottenham Hotspur,https://www.soccerdonna.de/en/hayley-raso/profil/spieler_12018.html,8 Hayley Raso,05.09.1994,"Brisbane, Queensland",30,Hayley Emma Raso,"1,61",Australia,Striker - Right Wing,right,210.000 €,30.06.2026,,www.instagram.com/hayleyraso/,22.09.2024,
Tottenham Hotspur,https://www.soccerdonna.de/en/beth-england/profil/spieler_9695.html,9 Beth England,03.06.1994,Barnsley,31,Bethany England,"1,66",England,Striker - Centre Forward,right,130.000 €,30.06.2026,,www.instagram.com/bethanyengland4/,14.01.2023,
Tottenham Hotspur,https://www.soccerdonna.de/en/olivia-holdt/profil/spieler_35476.html,11 Olivia Holdt,07.06.2001,Ikast,24,Olivia Møller Holdt,"1,73",Denmark,Striker - Centre Forward,right,150.000 €,30.06.2027,,www.instagram.com/oliviaholdt_/,26.01.2025,
Tottenham Hotspur,https://www.soccerdonna.de/en/martha-thomas/profil/spieler_40816.html,17 Martha Thomas,31.05.1996,Wiltshire,29,Martha Ellen Thomas,"1,70",Scottland England,Striker - Centre Forward,,60.000 €,30.06.2028,,,01.10.2023,29.05.2025
Tottenham Hotspur,https://www.soccerdonna.de/en/lenna-gunning-williams/profil/spieler_72217.html,31 Lenna Gunning-Williams,05.02.2005,London,20,Lenna Gunning-Williams,,England,Striker,,100.000 €,30.06.2028,,,27.11.2022,19.05.2025
Aston Villa,https://www.soccerdonna.de/en/ellie-roebuck/profil/spieler_30417.html,Ellie Roebuck,23.09.1999,Sheffield,25,Ellie Roebuck,"1,74",England,Goalkeeper,right,60.000 €,30.06.2027,,www.instagram.com/ellieroebuck_/,,
Aston Villa,https://www.soccerdonna.de/en/sophia-poor/profil/spieler_74068.html,Sophia Poor,25.06.2006,,19,,,England,Goalkeeper,,20.000 €,?,,,17.04.2024,
Aston Villa,https://www.soccerdonna.de/en/sabrina-dangelo/profil/spieler_17039.html,1 Sabrina D’Angelo,11.05.1993,"Welland, Ontario",32,Sabrina Victoria D’Angelo,"1,71",Canada,Goalkeeper,left,45.000 €,30.06.2026,,www.instagram.com/sabsdangelo/,20.09.2024,
Aston Villa,https://www.soccerdonna.de/en/soffia-kelly/profil/spieler_84045.html,40 Soffia Kelly,06.03.2007,,18,Soffia Gabrielle Kelly,,Wales,Goalkeeper,,unknown,?,,,,28.03.2025
Aston Villa,https://www.soccerdonna.de/en/lydia-sallaway/profil/spieler_85605.html,Lydia Sallaway,06.07.2007,,18,,,England,Defence,,15.000 €,?,,,13.12.2023,06.07.2025
Aston Villa,https://www.soccerdonna.de/en/lynn-wilms/profil/spieler_35666.html,Lynn Wilms,03.10.2000,Tegelen,24,Lynn Anke Hannie Wilms,"1,76",Netherlands,"Defence - Fullback, right",right,125.000 €,?,,www.instagram.com/lynnwilms_/,,
Aston Villa,https://www.soccerdonna.de/en/sarah-mayling/profil/spieler_27553.html,2 Sarah Mayling,20.03.1997,Sutton Coldfield,28,Sarah Emma Mayling,"1,66",England,"Defence - Fullback, right",right,50.000 €,30.06.2027,,,04.09.2021,29.05.2025
Aston Villa,https://www.soccerdonna.de/en/paula-tomas/profil/spieler_42970.html,3 Paula Tomás,11.09.2001,El Verger,23,Paula Tomás Serer,"1,70",Spain,"Defence - Fullback, left",both,120.000 €,30.06.2026,,instagram.com/paulatomas4,20.09.2024,
Aston Villa,https://www.soccerdonna.de/en/anna-patten/profil/spieler_30414.html,4 Anna Patten,20.04.1999,Harpenden,26,Anna Rose Patten,"1,78",Ireland England,Defence - Centre Back,right,185.000 €,30.06.2026,,,15.01.2022,
Aston Villa,https://www.soccerdonna.de/en/lucy-parker/profil/spieler_53207.html,15 Lucy Parker,18.11.1998,Cambridge,26,Lucy Michelle Parker,"1,79",England,Defence - Centre Back,,45.000 €,30.06.2025,,,01.10.2023,
Aston Villa,https://www.soccerdonna.de/en/noelle-maritz/profil/spieler_10312.html,16 Noelle Maritz,23.12.1995,"Newport Beach, California",29,Noelle Maritz,"1,65",Switzerland United States,"Defence - Fullback, right",both,60.000 €,30.06.2026,,www.instagram.com/noelle_maritz/,13.01.2024,
Aston Villa,https://www.soccerdonna.de/en/rachel-maltby/profil/spieler_85583.html,38 Rachel Maltby,25.03.2007,,18,Rachel Olivia Maltby,"1,69",England,Defence,left,unknown,?,,,30.04.2025,28.03.2025
Aston Villa,https://www.soccerdonna.de/en/lucy-staniforth/profil/spieler_3158.html,5 Lucy Staniforth,02.10.1992,York,32,Lucy Elizabeth Staniforth,"1,66",England,Midfield - Central Midfield,right,35.000 €,30.06.2025,,instagram.com/lucystan37,14.01.2023,16.07.2024
Aston Villa,https://www.soccerdonna.de/en/missy-bo-kearns/profil/spieler_35056.html,7 Missy Bo Kearns,14.04.2001,Liverpool,24,Missy Bo Kearns,"1,65",England,Midfield - Central Midfield,,125.000 €,30.06.2027,,,20.09.2024,
Aston Villa,https://www.soccerdonna.de/en/katie-robinson/profil/spieler_37949.html,11 Katie Robinson,08.08.2002,"Newquay, Cornwall",22,,"1,61",England,"Midfield - Midfield, right",right,85.000 €,30.06.2026,,www.instagram.com/katierobinson_1/,20.09.2024,
Aston Villa,https://www.soccerdonna.de/en/miri-taylor/profil/spieler_53057.html,25 Miri Taylor,02.02.2000,Gillingham,25,Miriaél Géanne Taylor,"1,70",England,Midfield,right,25.000 €,30.06.2026,,,18.02.2024,
Aston Villa,https://www.soccerdonna.de/en/georgia-mullett/profil/spieler_79379.html,Georgia Mullett,16.09.2005,,19,,,England,Striker,,15.000 €,?,,,20.11.2022,
Aston Villa,https://www.soccerdonna.de/en/rachel-daly/profil/spieler_3137.html,9 Rachel Daly,06.12.1991,Harrogate,33,Rachel Ann Daly,"1,67",England,Striker - Centre Forward,right,120.000 €,30.06.2027,,www.instagram.com/racheldaly3/,18.09.2022,31.05.2025
Aston Villa,https://www.soccerdonna.de/en/ebony-salmon/profil/spieler_35059.html,17 Ebony Salmon,27.01.2001,Birmingham,24,,"1,63",England,Striker - Centre Forward,right,115.000 €,30.06.2026,,www.instagram.com/ebonysalmon/,01.10.2023,
Aston Villa,https://www.soccerdonna.de/en/kirsty-hanson/profil/spieler_29821.html,20 Kirsty Hanson,17.04.1998,Halifax,27,Kirsty Rae Hanson,"1,63",Scottland England,Striker - Left Wing,right,80.000 €,30.06.2025,,,18.09.2022,
Aston Villa,https://www.soccerdonna.de/en/chasity-grant/profil/spieler_35137.html,23 Chasity Grant,19.04.2001,,24,Chasity Shivonia Charissa Grant,,Netherlands,Striker - Right Wing,,80.000 €,30.06.2027,,www.instagram.com/chasitygrant_/,20.09.2024,
Aston Villa,https://www.soccerdonna.de/en/gabi-nunes/profil/spieler_32162.html,28 Gabi Nunes,10.03.1997,São Paulo,28,Gabriela Nunes da Silva,"1,70",Brazil,Striker - Centre Forward,left,190.000 €,30.06.2026,,www.instagram.com/gabinunes11/,02.10.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/hannah-poulter/profil/spieler_63568.html,Hannah Poulter,26.04.2005,Godalming,20,,"1,70",England,Goalkeeper,,10.000 €,?,,,,
Brighton & Hove Albion,https://www.soccerdonna.de/en/chiamaka-nnadozie/profil/spieler_35771.html,Chiamaka Nnadozie,08.12.2000,Orlu,24,Chiamaka Cynthia Nnadozie,"1,80",Nigeria,Goalkeeper,right,125.000 €,?,,www.instagram.com/nnadozie_chiamaka/,,
Brighton & Hove Albion,https://www.soccerdonna.de/en/melina-loeck/profil/spieler_31277.html,28 Melina Loeck,01.07.2000,,25,,"1,80",Germany,Goalkeeper,,25.000 €,?,,,28.04.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/sophie-baggaley/profil/spieler_14117.html,32 Sophie Baggaley,29.11.1996,Newton,28,Sophie Baggaley,"1,67",England,Goalkeeper,right,40.000 €,?,,,01.10.2023,
Brighton & Hove Albion,https://www.soccerdonna.de/en/moeka-minami/profil/spieler_22901.html,Moeka Minami,07.12.1998,"Yoshikawa, Saitama",26,南 萌華,"1,72",Japan,Defence - Centre Back,right,95.000 €,?,,www.instagram.com/moeka_1207/,,08.02.2024
Brighton & Hove Albion,https://www.soccerdonna.de/en/manuela-vanegas/profil/spieler_38166.html,Manuela Vanegas,09.11.2000,Copacabana,24,Manuela Vanegas Cataño,"1,67",Colombia,Defence - Centre Back,left,150.000 €,?,,www.instagram.com/manuvanegas_02/,,
Brighton & Hove Albion,https://www.soccerdonna.de/en/caitlin-hayes/profil/spieler_26142.html,12 Caitlin Hayes,22.09.1995,Warrington,29,Caitlin Mary Hayes,,Ireland England,Defence - Centre Back,,60.000 €,?,,www.instagram.com/caitlinhayes5/,08.02.2025,
Brighton & Hove Albion,https://www.soccerdonna.de/en/jorelyn-carabali/profil/spieler_53793.html,16 Jorelyn Carabalí,18.05.1997,Jamundí,28,Jorelyn Daniela Carabalí Martínez,"1,70",Colombia,Defence - Centre Back,right,80.000 €,?,,www.instagram.com/jorelyn_j16/,11.10.2023,
Brighton & Hove Albion,https://www.soccerdonna.de/en/marisa-olislagers/profil/spieler_35661.html,19 Marisa Olislagers,09.09.2000,Santpoort-Zuid,24,Marisa Christiane Wilhelmina Olislagers,,Netherlands,"Defence - Fullback, left",left,75.000 €,30.06.2026,,,21.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/marit-auee/profil/spieler_38411.html,23 Marit Auée,11.01.2002,Zutphen,23,,"1,78",Netherlands,Defence,,35.000 €,?,,,02.10.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/rachel-mclauchlan/profil/spieler_22132.html,27 Rachel McLauchlan,07.07.1997,Livingston,28,,,Scottland,"Defence - Fullback, right",,120.000 €,?,,www.instagram.com/rachelmc_7/,29.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/charlie-rule/profil/spieler_49716.html,33 Charlie Rule,16.02.2003,Sydney,22,Charlize Jayde Rule,"1,76",Australia,"Defence - Fullback, right",,40.000 €,?,,,01.10.2023,10.08.2024
Brighton & Hove Albion,https://www.soccerdonna.de/en/jessica-pegram/profil/spieler_85572.html,60 Jessica Pegram,14.04.2007,,18,Jessica May Millen Pegram,,England,Defence,,15.000 €,?,,,,22.04.2025
Brighton & Hove Albion,https://www.soccerdonna.de/en/libby-bance/profil/spieler_42979.html,Libby Bance,23.07.2003,Kingston upon Thames,21,Libby Bance,"1,64",England,Midfield - Central Midfield,,20.000 €,?,,www.instagram.com/libbybance/,15.11.2020,
Brighton & Hove Albion,https://www.soccerdonna.de/en/lily-dent/profil/spieler_95639.html,Lily Dent,05.09.2006,,18,,,England,Midfield,,15.000 €,?,,,27.01.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/jelena-ankovic/profil/spieler_10644.html,10 Jelena Čanković,13.08.1995,Batajnica,29,Јелена Чанковић,"1,62",Serbia,Midfield - Attacking Midfield,left,70.000 €,?,,,21.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/nadine-noordam/profil/spieler_27862.html,15 Nadine Noordam,29.07.1998,Delft,26,,,Netherlands,Midfield - Central Midfield,,70.000 €,?,,www.instagram.com/nadinenoordam/,08.02.2025,
Brighton & Hove Albion,https://www.soccerdonna.de/en/rebecca-rayner/profil/spieler_53742.html,17 Rebecca Rayner,07.11.1999,,25,,,England,Midfield - Attacking Midfield,right,20.000 €,?,,,08.12.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/maisie-symonds/profil/spieler_47022.html,18 Maisie Symonds,02.02.2003,,22,,,England,Midfield - Central Midfield,right,100.000 €,?,,,28.03.2021,07.08.2023
Brighton & Hove Albion,https://www.soccerdonna.de/en/aisha-masaka/profil/spieler_54848.html,7 Aisha Masaka,10.11.2003,Singida,21,Aisha Khamis Masaka,"1,75",Tanzania,Striker,right,25.000 €,?,,,02.10.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/nikita-parris/profil/spieler_3892.html,9 Nikita Parris,10.03.1994,Toxteth,31,Nikita Josephine Parris,"1,62",England,Striker - Right Wing,right,80.000 €,?,,,21.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/kiko-seike/profil/spieler_23217.html,11 Kiko Seike,08.08.1996,"Tanashi, Tokyo",28,清家 貴子,"1,66",Japan,Striker,right,170.000 €,?,,www.instagram.com/seike_kiko/,21.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/fran-kirby/profil/spieler_4053.html,14 Fran Kirby,29.06.1993,Reading,32,Francesca Kirby,"1,57",England,Striker - Right Wing,both,85.000 €,30.06.2027,,,21.09.2024,
Brighton & Hove Albion,https://www.soccerdonna.de/en/madison-haley/profil/spieler_53764.html,21 Madison Haley,25.10.1998,"Dallas, Texas",26,,"1,70",United States,Striker - Centre Forward,right,45.000 €,30.06.2027,,www.instagram.com/madog9/,08.10.2023,23.05.2025
Brighton & Hove Albion,https://www.soccerdonna.de/en/olivia-johnson/profil/spieler_96726.html,63 Olivia Johnson,04.03.2007,,18,Olivia Hibbert-Johnson,,England,Striker,,15.000 €,?,,,03.03.2024,05.03.2025
